"","participant","organism","condition","acceleration","trial.num","raw.points","rectangles.cleared","deaths","log.block","block","switch.type","varied","experiment","switch.faster","switch.slower"
"69","A11FRLH5KWRLBV","human","LHLHM",0.4,37,900,48,3,1.6094379124341,5,-0.2,1,1,0,-0.2
"70","A11FRLH5KWRLBV","human","LHLHM",0.4,38,1200,48,0,1.6094379124341,5,-0.2,1,1,0,-0.2
"71","A11FRLH5KWRLBV","human","LHLHM",0.4,39,1275,55,1,1.6094379124341,5,-0.2,1,1,0,-0.2
"72","A11FRLH5KWRLBV","human","LHLHM",0.2,22,975,47,2,1.09861228866811,3,-0.4,1,1,0,-0.4
"73","A11FRLH5KWRLBV","human","LHLHM",0.4,40,975,55,4,1.6094379124341,5,-0.2,1,1,0,-0.2
"74","A11FRLH5KWRLBV","human","LHLHM",0.2,23,1100,44,0,1.09861228866811,3,-0.4,1,1,0,-0.4
"75","A11FRLH5KWRLBV","human","LHLHM",0.2,24,1150,46,0,1.09861228866811,3,-0.4,1,1,0,-0.4
"76","A11FRLH5KWRLBV","human","LHLHM",0.6,25,-75,37,10,1.38629436111989,4,0.4,1,1,0.4,0
"77","A11FRLH5KWRLBV","human","LHLHM",0.6,26,800,36,1,1.38629436111989,4,0.4,1,1,0.4,0
"78","A11FRLH5KWRLBV","human","LHLHM",0.6,27,950,42,1,1.38629436111989,4,0.4,1,1,0.4,0
"79","A11FRLH5KWRLBV","human","LHLHM",0.6,28,775,47,4,1.38629436111989,4,0.4,1,1,0.4,0
"80","A11FRLH5KWRLBV","human","LHLHM",0.6,29,850,38,1,1.38629436111989,4,0.4,1,1,0.4,0
"81","A11P1OS26E6AMO","human","HLHLM",0.6,1,-300,24,9,0,1,0,1,1,0,0
"82","A11P1OS26E6AMO","human","HLHLM",0.2,10,900,40,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"83","A11P1OS26E6AMO","human","HLHLM",0.2,11,875,43,2,0.693147180559945,2,-0.4,1,1,0,-0.4
"84","A11P1OS26E6AMO","human","HLHLM",0.2,12,675,35,2,0.693147180559945,2,-0.4,1,1,0,-0.4
"85","A11P1OS26E6AMO","human","HLHLM",0.2,13,975,39,0,0.693147180559945,2,-0.4,1,1,0,-0.4
"86","A11P1OS26E6AMO","human","HLHLM",0.2,14,950,42,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"87","A11P1OS26E6AMO","human","HLHLM",0.2,15,1050,54,3,0.693147180559945,2,-0.4,1,1,0,-0.4
"88","A11P1OS26E6AMO","human","HLHLM",0.2,16,975,47,2,0.693147180559945,2,-0.4,1,1,0,-0.4
"89","A11P1OS26E6AMO","human","HLHLM",0.6,17,375,35,5,1.09861228866811,3,0.4,1,1,0.4,0
"90","A11P1OS26E6AMO","human","HLHLM",0.6,18,500,36,4,1.09861228866811,3,0.4,1,1,0.4,0
"91","A11P1OS26E6AMO","human","HLHLM",0.6,19,375,35,5,1.09861228866811,3,0.4,1,1,0.4,0
"92","A11P1OS26E6AMO","human","HLHLM",0.6,2,75,23,5,0,1,0,1,1,0,0
"93","A11P1OS26E6AMO","human","HLHLM",0.6,20,700,36,2,1.09861228866811,3,0.4,1,1,0.4,0
"94","A11P1OS26E6AMO","human","HLHLM",0.6,3,350,22,2,0,1,0,1,1,0,0
"95","A11P1OS26E6AMO","human","HLHLM",0.6,4,475,23,1,0,1,0,1,1,0,0
"96","A11P1OS26E6AMO","human","HLHLM",0.6,5,400,24,2,0,1,0,1,1,0,0
"97","A11P1OS26E6AMO","human","HLHLM",0.6,6,600,28,1,0,1,0,1,1,0,0
"98","A11P1OS26E6AMO","human","HLHLM",0.6,7,650,26,0,0,1,0,1,1,0,0
"99","A11P1OS26E6AMO","human","HLHLM",0.6,8,700,32,1,0,1,0,1,1,0,0
"100","A11P1OS26E6AMO","human","HLHLM",0.2,9,675,27,0,0.693147180559945,2,-0.4,1,1,0,-0.4
"101","A11P1OS26E6AMO","human","HLHLM",0.6,21,775,35,1,1.09861228866811,3,0.4,1,1,0.4,0
"102","A11P1OS26E6AMO","human","HLHLM",0.2,30,1225,53,1,1.38629436111989,4,-0.4,1,1,0,-0.4
"103","A11P1OS26E6AMO","human","HLHLM",0.2,31,750,54,6,1.38629436111989,4,-0.4,1,1,0,-0.4
"104","A11P1OS26E6AMO","human","HLHLM",0.2,32,1175,55,2,1.38629436111989,4,-0.4,1,1,0,-0.4
"105","A11P1OS26E6AMO","human","HLHLM",0.4,33,1000,52,3,1.6094379124341,5,0.2,1,1,0.2,0
